UniqueIDN,LAT,LON,PlantType,FuelType,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour,PLCO2RTA_total
55202_G_6,38.1114,-89.3467,Combustion Turbine,NaturalGas,35.0,20763.39548863429,596,34.8379118936817,26315444.388713144
55202_G_7,38.1114,-89.3467,Combustion Turbine,NaturalGas,35.0,3353.913879426881,97,34.576431746668874,4250737.0351301115
55202_G_8,38.1114,-89.3467,Combustion Turbine,NaturalGas,35.0,3451.1493723565554,100,34.51149372356556,4373972.909927209
55237_G_CTG1,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,2243.780082850055,54,41.55148301574176,2704340.62643594
55237_G_CTG2,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,0.0,0,0.0,0.0
55237_G_CTG3,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,2268.0,54,42.0,2733531.948
55237_G_CTG4,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,2342.7652244617584,57,41.10114428880278,2823643.5572000034
55237_G_CTG5,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,0.0,0,0.0,0.0
55237_G_CTG6,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,2394.4035375776625,58,41.28281961340797,2885881.202104391
55237_G_CTG7,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,2494.708050125008,61,40.89685328073784,3006774.319201717
55237_G_CTG8,39.2794,-88.4772,Combustion Turbine,NaturalGas,42.0,2608.2908169398133,63,41.4014415387272,3143671.1983156963
7760_G_1,40.106125,-87.653818,Combustion Turbine,NaturalGas,44.0,0.0,0,0.0,0.0
7760_G_2,40.106125,-87.653818,Combustion Turbine,NaturalGas,44.0,8443.77451344311,194,43.52461089403665,10827511.165009694
7760_G_3,40.106125,-87.653818,Combustion Turbine,NaturalGas,44.0,8780.11242371827,202,43.46590308771421,11258799.621720904
7760_G_4,40.106125,-87.653818,Combustion Turbine,NaturalGas,44.0,0.0,0,0.0,0.0
7818_G_6,39.569771,-90.43602,Combustion Turbine,NaturalGas,42.0,0.0,0,0.0,0.0
7842_G_CT1,39.103333,-88.85898,Combustion Turbine,NaturalGas,45.0,0.0,0,0.0,0.0
971_G_1,38.334786,-90.158939,Combustion Turbine,NaturalGas,2.7,1591.4686653287156,590,2.6974045175062975,1963931.2173562523
971_G_10,38.334786,-90.158939,Combustion Turbine,NaturalGas,1.8,0.0,0,0.0,0.0
971_G_11,38.334786,-90.158939,Combustion Turbine,NaturalGas,1.8,95.3999999999999,53,1.7999999999999983,117727.1297999999
971_G_12,38.334786,-90.158939,Combustion Turbine,NaturalGas,6.6,0.0,0,0.0,0.0
971_G_13,38.334786,-90.158939,Combustion Turbine,NaturalGas,6.6,3874.1999999999634,587,6.5999999999999375,4780906.145399955
971_G_4,38.334786,-90.158939,Combustion Turbine,NaturalGas,1.8,0.0,0,0.0,0.0
971_G_7,38.334786,-90.158939,Combustion Turbine,NaturalGas,1.5,75.0,50,1.5,92552.77500000001
971_G_8,38.334786,-90.158939,Combustion Turbine,NaturalGas,2.4,0.0,0,0.0,0.0
971_G_9,38.334786,-90.158939,Combustion Turbine,NaturalGas,1.8,95.3999999999999,53,1.7999999999999983,117727.1297999999
999_G_nan_7,40.065001698526174,-89.19842354739667,Combustion Turbine,NaturalGas,3.8,0.0,0,0.0,0.0
1156_G_3A,42.3159,-92.1928,Combustion Turbine,Oil,1.8,0.0,0,0.0,0.0
1156_G_4A,42.3159,-92.1928,Combustion Turbine,Oil,1.8,0.0,0,0.0,0.0
1200_G_5,41.569128,-91.26405,Combustion Turbine,Oil,5.0,0.0,0,0.0,0.0
1200_G_6,41.569128,-91.26405,Combustion Turbine,Oil,5.0,0.0,0,0.0,0.0
6238_G_GT1,39.449185,-90.614119,Combustion Turbine,Oil,20.1,0.0,0,0.0,0.0
7556_G_1,40.4535,-88.9605,Combustion Turbine,Oil,1.7,0.0,0,0.0,0.0
7556_G_2,40.4535,-88.9605,Combustion Turbine,Oil,1.7,0.0,0,0.0,0.0
7556_G_3,40.4535,-88.9605,Combustion Turbine,Oil,1.7,0.0,0,0.0,0.0
8016_G_1,39.825934,-89.637282,Combustion Turbine,Oil,18.0,0.0,0,0.0,0.0
8106_G_7,41.7717,-91.1321,Combustion Turbine,Oil,2.0,0.0,0,0.0,0.0
934_G_2,38.607456,-89.524514,Combustion Turbine,Oil,3.0,0.0,0,0.0,0.0
934_G_5,38.607456,-89.524514,Combustion Turbine,Oil,2.5,0.0,0,0.0,0.0
934_G_6,38.607456,-89.524514,Combustion Turbine,Oil,2.5,0.0,0,0.0,0.0
934_G_7,38.607456,-89.524514,Combustion Turbine,Oil,2.5,0.0,0,0.0,0.0
934_G_8,38.607456,-89.524514,Combustion Turbine,Oil,2.5,0.0,0,0.0,0.0
934_G_IC1,38.607456,-89.524514,Combustion Turbine,Oil,1.0,0.0,0,0.0,0.0
934_G_IC3,38.607456,-89.524514,Combustion Turbine,Oil,3.0,0.0,0,0.0,0.0
969_G_12,39.596667,-88.611944,Combustion Turbine,Oil,1.0,0.0,0,0.0,0.0
969_G_3,39.596667,-88.611944,Combustion Turbine,Oil,1.3,0.0,0,0.0,0.0
969_G_4,39.596667,-88.611944,Combustion Turbine,Oil,0.9,0.0,0,0.0,0.0
969_G_5,39.596667,-88.611944,Combustion Turbine,Oil,1.1,0.0,0,0.0,0.0
969_G_6,39.596667,-88.611944,Combustion Turbine,Oil,0.6,0.0,0,0.0,0.0
976_G_5,37.619747,-88.953114,Combustion Turbine,Oil,70.0,0.0,0,0.0,0.0
976_G_6,37.619747,-88.953114,Combustion Turbine,Oil,70.0,0.0,0,0.0,0.0
1123_G_2,41.444224,-94.766474,Combustion Turbine,Oil,0.1,98.08695652174049,720,0.1362318840579729,165613.15617391534
1123_G_3,41.444224,-94.766474,Combustion Turbine,Oil,0.2,196.17391304348098,720,0.2724637681159458,331226.3123478307
1123_G_4,41.444224,-94.766474,Combustion Turbine,Oil,0.2,196.17391304348098,720,0.2724637681159458,331226.3123478307
1123_G_5,41.444224,-94.766474,Combustion Turbine,Oil,0.2,196.17391304348098,720,0.2724637681159458,331226.3123478307
1123_G_6,41.444224,-94.766474,Combustion Turbine,Oil,2.0,1961.7391304348007,720,2.7246376811594453,3312263.1234782916
1156_G_6,42.3159,-92.1928,Combustion Turbine,Oil,1.8,1765.5652173912888,720,2.4521739130434566,2992590.669913017
1184_G_2,43.405,-95.7261,Combustion Turbine,Oil,1.9,1863.6521739130208,720,2.5884057971014176,2584151.286260838
1184_G_3,43.405,-95.7261,Combustion Turbine,Oil,1.1,1078.956521739115,720,1.4985507246376597,1496087.5867825872
1184_G_5,43.405,-95.7261,Combustion Turbine,Oil,1.8,1765.5652173912888,720,2.4521739130434566,2448143.3238260653
1188_G_1,42.186076,-93.600479,Combustion Turbine,Oil,1.3,1275.1304347826087,720,1.7710144927536233,2077256.335304348
