LAT,LON,PlantType,PLCO2RTA_total,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour
28.64807,-96.54621,Combustion Turbine,38686535.49600001,86.0,31003.0,721,21.5
28.650278,-96.539722,O/G Steam,0.0,286.0,0.0,0,0.0
28.675088,-96.956014,Combustion Turbine,5974625.33064212,75.0,9565.79813481996,177,54.04405725886983
28.6917,-96.5417,Combined Cycle,264825509.6486998,597.3,430653.2999999997,7210,59.72999999999995
28.695805,-96.945409,Combustion Turbine,44905201.8,100.0,39300.0,786,50.0
28.7044,-98.4775,Coal Steam,219390917.25921816,391.0,80887.16962056601,215,376.21939358402796
28.7128,-97.214167,Coal Steam,797618449.3599504,635.0,347621.5969129469,721,482.1381371885533
28.740206,-81.889188,Municipal Solid Waste,20473086.860799726,12.4,8940.39999999988,1442,6.199999999999917
28.770601,-81.353336,Solar PV,0.0,10.0,1342.4958628925663,300,4.474986209641887
28.7853,-97.0093,Combustion Turbine,72281820.338,86.0,62006.0,1442,43.0
28.7883,-97.01,Combined Cycle,119045705.531775,285.0,125227.6959710835,945,140.8542320783114
28.795,-96.0481,Nuclear,0.0,2560.0,1845760.0,1442,1280.0
28.8419,-81.3256,Combined Cycle,719778784.6199999,1913.0,873852.0,5768,121.2
28.848683640996814,-82.47808564493938,Combined Cycle,917810860.2349831,1640.1999999999998,1182584.2000000104,4326,273.3666666666691
28.8947,-97.135,Combined Cycle,119224356.43299998,183.0,96761.0,2166,45.75
28.8947,-97.135,Combustion Turbine,19550325.220399998,25.2,15866.8,1445,5.9
28.903863,-81.332329,Combustion Turbine,43582572.375071585,561.0,26546.040393569383,774,34.29720981081316
28.9275,-99.0919,Combustion Turbine,50271526.36799957,201.60000000000002,50500.799999999566,6012,4.899999999999975
28.9656,-82.6977,Coal Steam,19806617.93651998,1422.0,15869.924471996523,40,396.7481117999131
28.9802,-95.342,Combined Cycle,150911414.08000004,379.0,115360.00000000001,721,40.00000000000001
28.988761,-95.395417,Combined Cycle,22368736.599999998,219.4,36050.0,721,25.0
29.0213,-80.9949,Combustion Turbine,0.0,44.0,0.0,0,0.0
29.0728,-95.745,Combustion Turbine,183941641.128,436.0,235767.0,2163,81.75
29.122882,-82.055452,Landfill Gas,0.0,3.8,2739.8000000000015,2163,1.2666666666666673
29.17016,-81.064121,Solar PV,0.0,0.8,107.39966903140528,300,0.35799889677135094
29.216667,-99.716111,Solar PV,0.0,90.14218009,10584.77630659154,300,35.28258768863847
29.221944,-98.669167,Solar PV,0.0,9.55507109,1121.986288552718,600,1.8699771475878633
29.234722,-100.209167,Onshore Wind,0.0,99.8,31636.642017401562,721,43.87883774951673
29.245,-98.418333,Solar PV,0.0,17.848151658,2095.785708726261,600,3.4929761812104347
29.257046,-98.384045,Combustion Turbine,23883985.92539075,191.0,24360.89925000816,708,34.40804978814712
29.257046,-98.384045,O/G Steam,0.0,862.0,0.0,0,0.0
29.271667,-98.444722,Solar PV,0.0,36.6878673,4308.003957178472,300,14.360013190594906
29.277934028040146,-96.22230946019198,Combustion Turbine,15522780.573560936,72.0,9183.166209427154,177,51.882294968515
29.2878,-96.0683,Combined Cycle,194138532.87328058,468.0,194529.92708657877,2927,76.58788224180914
29.289415,-96.065399,Combined Cycle,624836798.4726052,1087.8,784303.8000000066,2163,362.60000000000304
29.304177,-98.400339,Solar PV,0.0,12.16919431,1428.9448011373984,300,4.763149337124661
29.308056,-98.3242,O/G Steam,0.0,830.0,0.0,0,0.0
29.309722,-98.3203,Coal Steam,1761842057.1194913,1345.0,736300.862752621,1442,510.6108618256734
29.328889,-100.383889,Solar PV,0.0,35.69630332,4191.571417922214,300,13.97190472640738
29.33,-98.66,Landfill Gas,0.0,4.4,3172.4000000000406,2884,1.100000000000014
29.3467,-98.6536,Landfill Gas,0.0,8.338686132,6012.192701171947,4326,1.3897810219999878
29.3525,-98.5761,Combustion Turbine,40796461.244,181.0,31724.000000000004,721,11.000000000000002
29.377966,-98.26922,Solar PV,0.0,0.901421801,105.84776307765775,300,0.3528258769255258
29.378097,-94.932773,Combined Cycle,280004612.55200005,825.5,421064.0,2884,116.8
29.378697,-94.943829,Combined Cycle,172679458.18199998,451.0,325170.99999999994,2884,112.74999999999999
29.389510625489976,-94.9597554947371,Combustion Turbine,225274981.29300556,360.0,147102.31197185718,2453,49.899090723813394
29.4289,-98.3433,Landfill Gas,6.270068612444027,8.696350364,6270.068612444027,5047,1.2423357662857197
29.44905658154098,-98.51974876627708,Combined Cycle,0.0,474.0,0.0,0,0.0
29.469444,-98.331944,Solar PV,0.0,3.966255924,465.7301574947248,300,1.5524338583157493
29.4731,-95.6244,Combined Cycle,0.0,525.0,0.0,0,0.0
29.475278,-95.634167,Combustion Turbine,16133688.054946551,74.0,9438.25415968902,177,53.32346982875153
29.479167,-98.297222,Solar PV,0.0,4.957819905,582.1626968684062,300,1.9405423228946874
29.4828,-95.6311,Coal Steam,2808011944.76978,2499.0,1368041.5286385124,2884,474.3555924544079
29.4828,-95.6311,Combustion Turbine,19238813.594,13.0,9373.0,721,13.0
